"target_id","target_label","target_k","target_a","target_b","tau","method","mean_abs_error","sd_abs_error","n_queries","se_abs_error","median_abs_error","rmse","bias"
1,"B1 (4,2)",1,5,2,0.316227766016838,"Tensor-pooled",0.00324882362231133,0.00242386669689604,100,0.000242386669689604,0.00271922570249085,0.00404613808409533,0.000318324106446722
1,"B1 (4,2)",1,5,2,0.316227766016838,"Matrix-only",0.00974792881598854,0.00811601120188207,100,0.000811601120188207,0.00791814885071778,0.0126583197009858,-0.000888226504829789
1,"B1 (4,2)",1,5,2,0.334965439157828,"Tensor-pooled",0.00324882362231133,0.00242386669689604,100,0.000242386669689604,0.00271922570249085,0.00404613808409533,0.000318324106446722
1,"B1 (4,2)",1,5,2,0.334965439157828,"Matrix-only",0.00974792881598854,0.00811601120188207,100,0.000811601120188207,0.00791814885071778,0.0126583197009858,-0.000888226504829789
1,"B1 (4,2)",1,5,2,0.354813389233575,"Tensor-pooled",0.00324882362231133,0.00242386669689604,100,0.000242386669689604,0.00271922570249085,0.00404613808409533,0.000318324106446722
1,"B1 (4,2)",1,5,2,0.354813389233575,"Matrix-only",0.00974792881598854,0.00811601120188207,100,0.000811601120188207,0.00791814885071778,0.0126583197009858,-0.000888226504829789
1,"B1 (4,2)",1,5,2,0.375837404288444,"Tensor-pooled",0.00324882362231133,0.00242386669689604,100,0.000242386669689604,0.00271922570249085,0.00404613808409533,0.000318324106446722
1,"B1 (4,2)",1,5,2,0.375837404288444,"Matrix-only",0.00974792881598854,0.00811601120188207,100,0.000811601120188207,0.00791814885071778,0.0126583197009858,-0.000888226504829789
1,"B1 (4,2)",1,5,2,0.398107170553497,"Tensor-pooled",0.00324882362231133,0.00242386669689604,100,0.000242386669689604,0.00271922570249085,0.00404613808409533,0.000318324106446722
1,"B1 (4,2)",1,5,2,0.398107170553497,"Matrix-only",0.00974792881598854,0.00811601120188207,100,0.000811601120188207,0.00791814885071778,0.0126583197009858,-0.000888226504829789
1,"B1 (4,2)",1,5,2,0.421696503428582,"Tensor-pooled",0.00324882362231133,0.00242386669689604,100,0.000242386669689604,0.00271922570249085,0.00404613808409533,0.000318324106446722
1,"B1 (4,2)",1,5,2,0.421696503428582,"Matrix-only",0.00974792881598854,0.00811601120188207,100,0.000811601120188207,0.00791814885071778,0.0126583197009858,-0.000888226504829789
1,"B1 (4,2)",1,5,2,0.446683592150963,"Tensor-pooled",0.00324882362231133,0.00242386669689604,100,0.000242386669689604,0.00271922570249085,0.00404613808409533,0.000318324106446722
1,"B1 (4,2)",1,5,2,0.446683592150963,"Matrix-only",0.00974792881598854,0.00811601120188207,100,0.000811601120188207,0.00791814885071778,0.0126583197009858,-0.000888226504829789
1,"B1 (4,2)",1,5,2,0.47315125896148,"Tensor-pooled",0.00324882362231133,0.00242386669689604,100,0.000242386669689604,0.00271922570249085,0.00404613808409533,0.000318324106446722
1,"B1 (4,2)",1,5,2,0.47315125896148,"Matrix-only",0.00974792881598854,0.00811601120188207,100,0.000811601120188207,0.00791814885071778,0.0126583197009858,-0.000888226504829789
1,"B1 (4,2)",1,5,2,0.501187233627272,"Tensor-pooled",0.00324882362231133,0.00242386669689604,100,0.000242386669689604,0.00271922570249085,0.00404613808409533,0.000318324106446722
1,"B1 (4,2)",1,5,2,0.501187233627272,"Matrix-only",0.00974792881598854,0.00811601120188207,100,0.000811601120188207,0.00791814885071778,0.0126583197009858,-0.000888226504829789
1,"B1 (4,2)",1,5,2,0.530884444230988,"Tensor-pooled",0.00324882362231133,0.00242386669689604,100,0.000242386669689604,0.00271922570249085,0.00404613808409533,0.000318324106446722
