"target_id","target_label","target_k","target_a","target_b","tau","query","method","mu_true","mu_hat","error","abs_error","sq_error"
1,"B1 (4,2)",1,5,2,0.316227766016838,1,"Tensor-pooled",-0.00249296030973663,0.00193508295739561,0.00442804326713224,0.00442804326713224,1.96075671755951e-05
1,"B1 (4,2)",1,5,2,0.316227766016838,2,"Tensor-pooled",-0.0173598593333982,-0.011891187613005,0.00546867172039326,0.00546867172039326,2.9906370385429e-05
1,"B1 (4,2)",1,5,2,0.316227766016838,3,"Tensor-pooled",0.02788975592185,0.0262480703896135,-0.0016416855322365,0.0016416855322365,2.69513138675465e-06
1,"B1 (4,2)",1,5,2,0.316227766016838,4,"Tensor-pooled",0.040091601113856,0.0436665602113557,0.00357495909749973,0.00357495909749973,1.27803325487961e-05
1,"B1 (4,2)",1,5,2,0.316227766016838,5,"Tensor-pooled",-0.00238074930985353,0.000915635255581548,0.00329638456543508,0.00329638456543508,1.08661512032386e-05
1,"B1 (4,2)",1,5,2,0.316227766016838,6,"Tensor-pooled",0.020405354045957,0.0197691291444695,-0.000636224901487487,0.000636224901487487,4.04782125272762e-07
1,"B1 (4,2)",1,5,2,0.316227766016838,7,"Tensor-pooled",-0.00228838026175216,-0.000124612484596202,0.00216376777715596,0.00216376777715596,4.68189099345844e-06
1,"B1 (4,2)",1,5,2,0.316227766016838,8,"Tensor-pooled",0.0235521103938782,0.020530135382321,-0.00302197501155724,0.00302197501155724,9.13233297047637e-06
1,"B1 (4,2)",1,5,2,0.316227766016838,9,"Tensor-pooled",-0.0224046477740989,-0.0214251629288344,0.00097948484526451,0.00097948484526451,9.59390562102842e-07
1,"B1 (4,2)",1,5,2,0.316227766016838,10,"Tensor-pooled",0.0103816833650346,0.00347673944151223,-0.00690494392352237,0.00690494392352237,4.76782505869884e-05
1,"B1 (4,2)",1,5,2,0.316227766016838,11,"Tensor-pooled",-0.0199032442822011,-0.01825120198715,0.0016520422950511,0.0016520422950511,2.72924374463772e-06
1,"B1 (4,2)",1,5,2,0.316227766016838,12,"Tensor-pooled",-0.0249247654996019,-0.0267790576371522,-0.00185429213755025,0.00185429213755025,3.43839933138066e-06
1,"B1 (4,2)",1,5,2,0.316227766016838,13,"Tensor-pooled",-0.0146776771487811,-0.0128245080696432,0.00185316907913788,0.00185316907913788,3.43423563587274e-06
1,"B1 (4,2)",1,5,2,0.316227766016838,14,"Tensor-pooled",0.0240625235334325,0.0238505130489827,-0.000212010484449843,0.000212010484449843,4.49484455166573e-08
1,"B1 (4,2)",1,5,2,0.316227766016838,15,"Tensor-pooled",-0.000407753077406233,-0.00442686436900298,-0.00401911129159675,0.00401911129159675,1.61532555742405e-05
1,"B1 (4,2)",1,5,2,0.316227766016838,16,"Tensor-pooled",-0.0240280341475109,-0.0188661291786407,0.00516190496887015,0.00516190496887015,2.66452629076463e-05
1,"B1 (4,2)",1,5,2,0.316227766016838,17,"Tensor-pooled",0.0419888625251289,0.0407453142077577,-0.00124354831737126,0.00124354831737126,1.54641241763689e-06
1,"B1 (4,2)",1,5,2,0.316227766016838,18,"Tensor-pooled",0.0159723615470893,0.0199125589204843,0.00394019737339495,0.00394019737339495,1.55251553413085e-05
1,"B1 (4,2)",1,5,2,0.316227766016838,19,"Tensor-pooled",-0.00461725642660553,-0.0033976722394925,0.00121958418711303,0.00121958418711303,1.48738558945615e-06
1,"B1 (4,2)",1,5,2,0.316227766016838,20,"Tensor-pooled",0.010832527669902,0.0170123441411327,0.00617981647123072,0.00617981647123072,3.81901316180945e-05
