estimand_type	estimand	design_id	design	functional	local_state	method	quantity	point_estimate	ci_low	ci_high	estimate_ci	boot_se	n_boot_nonmissing	ci_type
Delta	Delta: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	Matrix	Delta_h_matrix	-0.110212	-0.377747	0.157323	-0.1102 [-0.3777, 0.1573]	0.136497	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	Tensor	Delta_h	-0.492719	-0.742927	-0.242511	-0.4927 [-0.7429, -0.2425]	0.127657	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	Matrix	Delta_h_matrix	-0.164054	-0.432311	0.104203	-0.1641 [-0.4323, 0.1042]	0.136866	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	Tensor	Delta_h	-0.035365	-0.267526	0.196796	-0.0354 [-0.2675, 0.1968]	0.11845	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	Matrix	Delta_h_matrix	-0.027981	-0.301119	0.245157	-0.0280 [-0.3011, 0.2452]	0.139356	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	Tensor	Delta_h	-0.084471	-0.134338	-0.034604	-0.0845 [-0.1343, -0.0346]	0.025442	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	Matrix	Delta_h_matrix	0.009752	-0.048415	0.067919	0.0098 [-0.0484, 0.0679]	0.029677	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	Tensor	Delta_h	0.005041	-0.010122	0.020204	0.0050 [-0.0101, 0.0202]	0.007736	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	Matrix	Delta_h_matrix	0.007251	-0.010413	0.024915	0.0073 [-0.0104, 0.0249]	0.009012	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	nonmasked_original	Non-masked	ATE	NA	Tensor	Delta_h	-0.024137	-0.09484	0.046566	-0.0241 [-0.0948, 0.0466]	0.036073	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	nonmasked_original	Non-masked	ATE	NA	Matrix	Delta_h_matrix	0.033735	-0.027017	0.094487	0.0337 [-0.0270, 0.0945]	0.030996	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	nonmasked_original	Non-masked	Local-Florida	NA	Tensor	Delta_h	0.062109	-0.206073	0.330291	0.0621 [-0.2061, 0.3303]	0.136827	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	nonmasked_original	Non-masked	Local-Florida	NA	Matrix	Delta_h_matrix	-0.009361	-0.28541	0.266688	-0.0094 [-0.2854, 0.2667]	0.140841	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	nonmasked_original	Non-masked	Local-Montana	NA	Tensor	Delta_h	-0.1958	-0.487993	0.096393	-0.1958 [-0.4880, 0.0964]	0.149078	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	nonmasked_original	Non-masked	Local-Montana	NA	Matrix	Delta_h_matrix	0.010377	-0.213341	0.234095	0.0104 [-0.2133, 0.2341]	0.114142	500	bootstrap_se_centered
