estimand_type	estimand	design_id	design	functional	local_state	Tensor_point_estimate	Matrix_point_estimate	Tensor_ci_low	Matrix_ci_low	Tensor_ci_high	Matrix_ci_high	Tensor_estimate_ci	Matrix_estimate_ci	Tensor_boot_se	Matrix_boot_se	Tensor_n_boot_nonmissing	Matrix_n_boot_nonmissing
Psi0	Psi0: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	6.006514	5.876643	4.648621	2.453014	7.364407	9.300272	6.0065 [4.6486, 7.3644]	5.8766 [2.4530, 9.3003]	0.692802	1.74675	500	500
Psi0	Psi0: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	5.818303	5.955165	4.606287	3.100479	7.030319	8.809851	5.8183 [4.6063, 7.0303]	5.9552 [3.1005, 8.8099]	0.618376	1.456473	500	500
Psi0	Psi0: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	1.478382	1.418963	1.284776	0.872514	1.671988	1.965412	1.4784 [1.2848, 1.6720]	1.4190 [0.8725, 1.9654]	0.098778	0.278801	500	500
Psi0	Psi0: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	-0.005502	-0.018751	-0.026347	-0.042559	0.015343	0.005057	-0.0055 [-0.0263, 0.0153]	-0.0188 [-0.0426, 0.0051]	0.010635	0.012147	500	500
Psi0	Psi0: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	5.512131	5.470889	5.317692	5.137392	5.70657	5.804386	5.5121 [5.3177, 5.7066]	5.4709 [5.1374, 5.8044]	0.099203	0.170151	500	500
Psi0	Psi0: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	6.13404	6.273329	5.101648	4.84978	7.166432	7.696878	6.1340 [5.1016, 7.1664]	6.2733 [4.8498, 7.6969]	0.526731	0.726301	500	500
Psi0	Psi0: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	5.668103	5.94934	4.58841	4.43814	6.747796	7.46054	5.6681 [4.5884, 6.7478]	5.9493 [4.4381, 7.4605]	0.550864	0.77102	500	500
Psi0	Psi0: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	5.85386	5.954373	4.861996	4.643352	6.845724	7.265394	5.8539 [4.8620, 6.8457]	5.9544 [4.6434, 7.2654]	0.506053	0.668888	500	500
Psi0	Psi0: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	1.988955	1.969568	1.80728	1.731065	2.17063	2.208071	1.9890 [1.8073, 2.1706]	1.9696 [1.7311, 2.2081]	0.092691	0.121685	500	500
Psi0	Psi0: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	-0.015349	-0.012226	-0.028142	-0.02727	-0.002556	0.002818	-0.0153 [-0.0281, -0.0026]	-0.0122 [-0.0273, 0.0028]	0.006527	0.007676	500	500
Psi0	Psi0: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	5.484973	5.426996	5.276188	5.215086	5.693758	5.638906	5.4850 [5.2762, 5.6938]	5.4270 [5.2151, 5.6389]	0.106523	0.108118	500	500
Psi0	Psi0: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	6.110858	6.252591	5.12231	5.147274	7.099406	7.357908	6.1109 [5.1223, 7.0994]	6.2526 [5.1473, 7.3579]	0.504361	0.563937	500	500
Psi0	Psi0: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	5.640451	5.762629	4.509586	4.53734	6.771316	6.987918	5.6405 [4.5096, 6.7713]	5.7626 [4.5373, 6.9879]	0.576972	0.625148	500	500
Psi0	Psi0: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	5.831473	5.90174	4.689979	4.65057	6.972967	7.15291	5.8315 [4.6900, 6.9730]	5.9017 [4.6506, 7.1529]	0.582395	0.638352	500	500
Psi0	Psi0: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	2.416797	2.401548	2.211486	2.192005	2.622108	2.611091	2.4168 [2.2115, 2.6221]	2.4015 [2.1920, 2.6111]	0.104751	0.10691	500	500
Psi0	Psi0: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	-0.013692	-0.01263	-0.026699	-0.023411	-6.85e-4	-0.001849	-0.0137 [-0.0267, -0.0007]	-0.0126 [-0.0234, -0.0018]	0.006636	0.0055	500	500
Psi0	Psi0: Aggravated assault rate, log	nonmasked_original	Non-masked	ATE	NA	5.601655	5.598149	5.348066	5.352138	5.855244	5.84416	5.6017 [5.3481, 5.8552]	5.5981 [5.3521, 5.8442]	0.129382	0.125516	500	500
Psi0	Psi0: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Florida	NA	6.119929	6.180554	5.06262	5.046024	7.177238	7.315084	6.1199 [5.0626, 7.1772]	6.1806 [5.0460, 7.3151]	0.539444	0.578842	500	500
Psi0	Psi0: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Montana	NA	5.544777	5.711983	4.554939	4.827016	6.534615	6.59695	5.5448 [4.5549, 6.5346]	5.7120 [4.8270, 6.5969]	0.50502	0.451514	500	500
Psi0	Psi0: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Texas	NA	5.761847	5.757316	4.684908	4.730411	6.838786	6.784221	5.7618 [4.6849, 6.8388]	5.7573 [4.7304, 6.7842]	0.549459	0.523931	500	500
Psi0	Psi0: Aggravated assault rate, log	nonmasked_original	Non-masked	RowHet	NA	4.983278	4.983054	4.72521	4.73046	5.241346	5.235648	4.9833 [4.7252, 5.2413]	4.9831 [4.7305, 5.2356]	0.131668	0.128875	500	500
Psi0	Psi0: Aggravated assault rate, log	nonmasked_original	Non-masked	Trend	NA	-0.069567	-0.034711	-0.081817	-0.063473	-0.057317	-0.005949	-0.0696 [-0.0818, -0.0573]	-0.0347 [-0.0635, -0.0059]	0.00625	0.014675	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	-0.918361	-1.004394	-1.283288	-2.461859	-0.553434	0.453071	-0.9184 [-1.2833, -0.5534]	-1.0044 [-2.4619, 0.4531]	0.186187	0.743605	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	-0.930985	-0.955489	-2.44923	-4.061041	0.58726	2.150063	-0.9310 [-2.4492, 0.5873]	-0.9555 [-4.0610, 2.1501]	0.774615	1.584465	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	-1.78526	-2.500196	-3.367417	-6.16555	-0.203103	1.165158	-1.7853 [-3.3674, -0.2031]	-2.5002 [-6.1656, 1.1652]	0.807223	1.870079	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	-0.794166	-0.864323	-2.224127	-4.381335	0.635795	2.652689	-0.7942 [-2.2241, 0.6358]	-0.8643 [-4.3813, 2.6527]	0.729572	1.794394	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	-0.347303	-0.421729	-0.575231	-1.030526	-0.119375	0.187068	-0.3473 [-0.5752, -0.1194]	-0.4217 [-1.0305, 0.1871]	0.11629	0.310611	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	-5.97e-4	0.004153	-0.028498	-0.026664	0.027304	0.03497	-0.0006 [-0.0285, 0.0273]	0.0042 [-0.0267, 0.0350]	0.014235	0.015723	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	-0.923407	-0.987496	-1.129083	-1.438829	-0.717731	-0.536163	-0.9234 [-1.1291, -0.7177]	-0.9875 [-1.4388, -0.5362]	0.104937	0.230272	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	-0.928049	-0.975665	-2.014012	-2.412139	0.157914	0.460809	-0.9280 [-2.0140, 0.1579]	-0.9757 [-2.4121, 0.4608]	0.554063	0.732895	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	-2.086725	-2.578308	-3.253061	-4.22467	-0.920389	-0.931946	-2.0867 [-3.2531, -0.9204]	-2.5783 [-4.2247, -0.9319]	0.595069	0.839981	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	-0.714062	-0.865279	-1.766298	-2.238273	0.338174	0.507715	-0.7141 [-1.7663, 0.3382]	-0.8653 [-2.2383, 0.5077]	0.536855	0.700507	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	-0.420394	-0.501865	-0.597953	-0.772498	-0.242835	-0.231232	-0.4204 [-0.5980, -0.2428]	-0.5019 [-0.7725, -0.2312]	0.090591	0.138078	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	0.00423	-0.001652	-0.0177	-0.023833	0.02616	0.020529	0.0042 [-0.0177, 0.0262]	-0.0017 [-0.0238, 0.0205]	0.011189	0.011317	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	-0.94469	-0.985563	-1.15334	-1.21332	-0.73604	-0.757806	-0.9447 [-1.1533, -0.7360]	-0.9856 [-1.2133, -0.7578]	0.106454	0.116203	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	-0.932794	-0.949943	-2.034272	-2.151966	0.168684	0.25208	-0.9328 [-2.0343, 0.1687]	-0.9499 [-2.1520, 0.2521]	0.561979	0.613277	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	-2.007286	-2.458129	-3.106633	-3.646416	-0.907939	-1.269842	-2.0073 [-3.1066, -0.9079]	-2.4581 [-3.6464, -1.2698]	0.560891	0.606269	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	-0.730779	-0.808429	-1.807165	-2.007266	0.345607	0.390408	-0.7308 [-1.8072, 0.3456]	-0.8084 [-2.0073, 0.3904]	0.549176	0.611652	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	-0.504931	-0.583905	-0.690005	-0.784518	-0.319857	-0.383292	-0.5049 [-0.6900, -0.3199]	-0.5839 [-0.7845, -0.3833]	0.094426	0.102353	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	-1.68e-4	-0.0034390000000000002	-0.015969	-0.020173	0.015633	0.013295	-0.0002 [-0.0160, 0.0156]	-0.0034 [-0.0202, 0.0133]	0.008061	0.008538	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	ATE	NA	-1.036755	-1.091121	-1.27024	-1.359291	-0.80327	-0.822951	-1.0368 [-1.2702, -0.8033]	-1.0911 [-1.3593, -0.8230]	0.119125	0.136821	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Florida	NA	-0.995294	-0.984449	-2.046547	-2.179724	0.055959	0.210826	-0.9953 [-2.0465, 0.0560]	-0.9844 [-2.1797, 0.2108]	0.536354	0.609834	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Montana	NA	-2.378217	-2.7516	-3.523228	-4.12903	-1.233206	-1.37417	-2.3782 [-3.5232, -1.2332]	-2.7516 [-4.1290, -1.3742]	0.584189	0.70277	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Texas	NA	-0.708545	-0.759286	-1.820575	-2.112513	0.403485	0.593941	-0.7085 [-1.8206, 0.4035]	-0.7593 [-2.1125, 0.5939]	0.567362	0.690422	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	RowHet	NA	-0.936758	-0.988349	-1.169199	-1.257646	-0.704317	-0.719052	-0.9368 [-1.1692, -0.7043]	-0.9883 [-1.2576, -0.7191]	0.118592	0.137396	500	500
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Trend	NA	0.007634	-0.053407	-0.010728	-0.107463	0.025996	0.00064899999999999995	0.0076 [-0.0107, 0.0260]	-0.0534 [-0.1075, 0.0006]	0.009368	0.02758	500	500
Psi1	Psi1: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	4.387113	4.387113	4.165412	4.165412	4.608814	4.608814	4.3871 [4.1654, 4.6088]	4.3871 [4.1654, 4.6088]	0.113113	0.113113	500	500
Psi1	Psi1: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	5.192436	5.192436	3.61727	3.61727	6.767602	6.767602	5.1924 [3.6173, 6.7676]	5.1924 [3.6173, 6.7676]	0.803656	0.803656	500	500
Psi1	Psi1: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	3.140446	3.140446	1.514657	1.514657	4.766235	4.766235	3.1404 [1.5147, 4.7662]	3.1404 [1.5147, 4.7662]	0.829484	0.829484	500	500
Psi1	Psi1: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	5.065329	5.065329	3.477621	3.477621	6.653037	6.653037	5.0653 [3.4776, 6.6530]	5.0653 [3.4776, 6.6530]	0.810055	0.810055	500	500
Psi1	Psi1: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	1.004392	1.004392	0.774075	0.774075	1.234709	1.234709	1.0044 [0.7741, 1.2347]	1.0044 [0.7741, 1.2347]	0.117508	0.117508	500	500
Psi1	Psi1: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	-0.009946	-0.009946	-0.017675	-0.017675	-0.002217	-0.002217	-0.0099 [-0.0177, -0.0022]	-0.0099 [-0.0177, -0.0022]	0.003944	0.003944	500	500
Psi1	Psi1: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	4.449247	4.449247	4.205797	4.205797	4.692697	4.692697	4.4492 [4.2058, 4.6927]	4.4492 [4.2058, 4.6927]	0.124209	0.124209	500	500
Psi1	Psi1: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	5.192436	5.192436	3.646849	3.646849	6.738023	6.738023	5.1924 [3.6468, 6.7380]	5.1924 [3.6468, 6.7380]	0.788565	0.788565	500	500
Psi1	Psi1: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	3.140446	3.140446	1.547127	1.547127	4.733765	4.733765	3.1404 [1.5471, 4.7338]	3.1404 [1.5471, 4.7338]	0.812918	0.812918	500	500
Psi1	Psi1: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	5.065329	5.065329	3.603105	3.603105	6.527553	6.527553	5.0653 [3.6031, 6.5276]	5.0653 [3.6031, 6.5276]	0.746033	0.746033	500	500
Psi1	Psi1: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	1.474008	1.474008	1.22868	1.22868	1.719336	1.719336	1.4740 [1.2287, 1.7193]	1.4740 [1.2287, 1.7193]	0.125167	0.125167	500	500
Psi1	Psi1: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	-0.010266	-0.010266	-0.018361	-0.018361	-0.002171	-0.002171	-0.0103 [-0.0184, -0.0022]	-0.0103 [-0.0184, -0.0022]	0.00413	0.00413	500	500
Psi1	Psi1: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	4.391325	4.391325	4.135486	4.135486	4.647164	4.647164	4.3913 [4.1355, 4.6472]	4.3913 [4.1355, 4.6472]	0.13053	0.13053	500	500
Psi1	Psi1: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	5.192436	5.192436	3.705685	3.705685	6.679187	6.679187	5.1924 [3.7057, 6.6792]	5.1924 [3.7057, 6.6792]	0.758546	0.758546	500	500
Psi1	Psi1: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	3.140446	3.140446	1.591775	1.591775	4.689117	4.689117	3.1404 [1.5918, 4.6891]	3.1404 [1.5918, 4.6891]	0.790138	0.790138	500	500
Psi1	Psi1: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	5.065329	5.065329	3.426862	3.426862	6.703796	6.703796	5.0653 [3.4269, 6.7038]	5.0653 [3.4269, 6.7038]	0.835952	0.835952	500	500
Psi1	Psi1: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	1.827396	1.827396	1.552508	1.552508	2.102284	2.102284	1.8274 [1.5525, 2.1023]	1.8274 [1.5525, 2.1023]	0.140249	0.140249	500	500
Psi1	Psi1: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	-0.008818	-0.008818	-0.017852	-0.017852	2.16e-4	2.16e-4	-0.0088 [-0.0179, 0.0002]	-0.0088 [-0.0179, 0.0002]	0.004609	0.004609	500	500
Psi1	Psi1: Robbery rate, log	nonmasked_original	Non-masked	ATE	NA	4.540763	4.540763	4.202516	4.202516	4.87901	4.87901	4.5408 [4.2025, 4.8790]	4.5408 [4.2025, 4.8790]	0.172575	0.172575	500	500
Psi1	Psi1: Robbery rate, log	nonmasked_original	Non-masked	Local-Florida	NA	5.186744	5.186744	3.696578	3.696578	6.67691	6.67691	5.1867 [3.6966, 6.6769]	5.1867 [3.6966, 6.6769]	0.760289	0.760289	500	500
Psi1	Psi1: Robbery rate, log	nonmasked_original	Non-masked	Local-Montana	NA	2.97076	2.97076	1.581713	1.581713	4.359807	4.359807	2.9708 [1.5817, 4.3598]	2.9708 [1.5817, 4.3598]	0.708697	0.708697	500	500
Psi1	Psi1: Robbery rate, log	nonmasked_original	Non-masked	Local-Texas	NA	5.033588	5.033588	3.500646	3.500646	6.56653	6.56653	5.0336 [3.5006, 6.5665]	5.0336 [3.5006, 6.5665]	0.782114	0.782114	500	500
Psi1	Psi1: Robbery rate, log	nonmasked_original	Non-masked	RowHet	NA	4.029444	4.029444	3.68283	3.68283	4.376058	4.376058	4.0294 [3.6828, 4.3761]	4.0294 [3.6828, 4.3761]	0.176844	0.176844	500	500
Psi1	Psi1: Robbery rate, log	nonmasked_original	Non-masked	Trend	NA	-0.197871	-0.197871	-0.278993	-0.278993	-0.116749	-0.116749	-0.1979 [-0.2790, -0.1167]	-0.1979 [-0.2790, -0.1167]	0.041389	0.041389	500	500
Psi1	Psi1: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	5.422005	5.422005	5.267728	5.267728	5.576282	5.576282	5.4220 [5.2677, 5.5763]	5.4220 [5.2677, 5.5763]	0.078713	0.078713	500	500
Psi1	Psi1: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	6.141617	6.141617	5.15522	5.15522	7.128014	7.128014	6.1416 [5.1552, 7.1280]	6.1416 [5.1552, 7.1280]	0.503264	0.503264	500	500
Psi1	Psi1: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	5.561601	5.561601	4.530974	4.530974	6.592228	6.592228	5.5616 [4.5310, 6.5922]	5.5616 [4.5310, 6.5922]	0.52583	0.52583	500	500
Psi1	Psi1: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	5.777217	5.777217	4.738094	4.738094	6.81634	6.81634	5.7772 [4.7381, 6.8163]	5.7772 [4.7381, 6.8163]	0.530165	0.530165	500	500
Psi1	Psi1: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	1.418022	1.418022	1.268819	1.268819	1.567225	1.567225	1.4180 [1.2688, 1.5672]	1.4180 [1.2688, 1.5672]	0.076124	0.076124	500	500
Psi1	Psi1: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	-0.004892	-0.004892	-0.016447	-0.016447	0.006663	0.006663	-0.0049 [-0.0164, 0.0067]	-0.0049 [-0.0164, 0.0067]	0.005896	0.005896	500	500
Psi1	Psi1: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	5.461256	5.461256	5.314582	5.314582	5.60793	5.60793	5.4613 [5.3146, 5.6079]	5.4613 [5.3146, 5.6079]	0.074833	0.074833	500	500
Psi1	Psi1: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	6.141617	6.141617	5.173026	5.173026	7.110208	7.110208	6.1416 [5.1730, 7.1102]	6.1416 [5.1730, 7.1102]	0.494179	0.494179	500	500
Psi1	Psi1: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	5.561601	5.561601	4.594453	4.594453	6.528749	6.528749	5.5616 [4.5945, 6.5287]	5.5616 [4.5945, 6.5287]	0.493443	0.493443	500	500
Psi1	Psi1: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	5.777217	5.777217	4.826418	4.826418	6.728016	6.728016	5.7772 [4.8264, 6.7280]	5.7772 [4.8264, 6.7280]	0.485101	0.485101	500	500
Psi1	Psi1: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	1.97127	1.97127	1.82064	1.82064	2.1219	2.1219	1.9713 [1.8206, 2.1219]	1.9713 [1.8206, 2.1219]	0.076852	0.076852	500	500
Psi1	Psi1: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	-0.004402	-0.004402	-0.017756	-0.017756	0.008952	0.008952	-0.0044 [-0.0178, 0.0090]	-0.0044 [-0.0178, 0.0090]	0.006813	0.006813	500	500
Psi1	Psi1: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	5.439325	5.439325	5.2763	5.2763	5.60235	5.60235	5.4393 [5.2763, 5.6024]	5.4393 [5.2763, 5.6024]	0.083176	0.083176	500	500
Psi1	Psi1: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	6.141617	6.141617	5.198395	5.198395	7.084839	7.084839	6.1416 [5.1984, 7.0848]	6.1416 [5.1984, 7.0848]	0.481236	0.481236	500	500
Psi1	Psi1: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	5.561601	5.561601	4.572097	4.572097	6.551105	6.551105	5.5616 [4.5721, 6.5511]	5.5616 [4.5721, 6.5511]	0.504849	0.504849	500	500
Psi1	Psi1: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	5.777217	5.777217	4.7674	4.7674	6.787034	6.787034	5.7772 [4.7674, 6.7870]	5.7772 [4.7674, 6.7870]	0.515213	0.515213	500	500
Psi1	Psi1: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	2.409736	2.409736	2.236228	2.236228	2.583244	2.583244	2.4097 [2.2362, 2.5832]	2.4097 [2.2362, 2.5832]	0.088525	0.088525	500	500
Psi1	Psi1: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	-0.00421	-0.00421	-0.0187	-0.0187	0.01028	0.01028	-0.0042 [-0.0187, 0.0103]	-0.0042 [-0.0187, 0.0103]	0.007393	0.007393	500	500
Psi1	Psi1: Aggravated assault rate, log	nonmasked_original	Non-masked	ATE	NA	5.647762	5.647762	5.461251	5.461251	5.834273	5.834273	5.6478 [5.4613, 5.8343]	5.6478 [5.4613, 5.8343]	0.095159	0.095159	500	500
Psi1	Psi1: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Florida	NA	6.110862	6.110862	5.241195	5.241195	6.980529	6.980529	6.1109 [5.2412, 6.9805]	6.1109 [5.2412, 6.9805]	0.443708	0.443708	500	500
Psi1	Psi1: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Montana	NA	5.417334	5.417334	4.61781	4.61781	6.216858	6.216858	5.4173 [4.6178, 6.2169]	5.4173 [4.6178, 6.2169]	0.407921	0.407921	500	500
Psi1	Psi1: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Texas	NA	5.730712	5.730712	4.850465	4.850465	6.610959	6.610959	5.7307 [4.8505, 6.6110]	5.7307 [4.8505, 6.6110]	0.449106	0.449106	500	500
Psi1	Psi1: Aggravated assault rate, log	nonmasked_original	Non-masked	RowHet	NA	5.035425	5.035425	4.843902	4.843902	5.226948	5.226948	5.0354 [4.8439, 5.2269]	5.0354 [4.8439, 5.2269]	0.097716	0.097716	500	500
Psi1	Psi1: Aggravated assault rate, log	nonmasked_original	Non-masked	Trend	NA	-0.045571	-0.045571	-0.109404	-0.109404	0.018262	0.018262	-0.0456 [-0.1094, 0.0183]	-0.0456 [-0.1094, 0.0183]	0.032568	0.032568	500	500
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	-1.034892	-1.034892	-1.218963	-1.218963	-0.850821	-0.850821	-1.0349 [-1.2190, -0.8508]	-1.0349 [-1.2190, -0.8508]	0.093914	0.093914	500	500
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	-0.949181	-0.949181	-2.247292	-2.247292	0.34893	0.34893	-0.9492 [-2.2473, 0.3489]	-0.9492 [-2.2473, 0.3489]	0.662301	0.662301	500	500
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	-2.421155	-2.421155	-3.673796	-3.673796	-1.168514	-1.168514	-2.4212 [-3.6738, -1.1685]	-2.4212 [-3.6738, -1.1685]	0.639103	0.639103	500	500
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	-0.711888	-0.711888	-1.909297	-1.909297	0.485521	0.485521	-0.7119 [-1.9093, 0.4855]	-0.7119 [-1.9093, 0.4855]	0.610923	0.610923	500	500
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	-0.41363	-0.41363	-0.600094	-0.600094	-0.227166	-0.227166	-0.4136 [-0.6001, -0.2272]	-0.4136 [-0.6001, -0.2272]	0.095135	0.095135	500	500
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	-0.005054	-0.005054	-0.01334	-0.01334	0.003232	0.003232	-0.0051 [-0.0133, 0.0032]	-0.0051 [-0.0133, 0.0032]	0.004228	0.004228	500	500
