estimand_type	estimand	design_id	design	functional	local_state	Tensor_point_estimate	Matrix_point_estimate	Tensor_ci_low	Matrix_ci_low	Tensor_ci_high	Matrix_ci_high	Tensor_estimate_ci	Matrix_estimate_ci	Tensor_boot_se	Matrix_boot_se	Tensor_n_boot_nonmissing	Matrix_n_boot_nonmissing
Delta	Delta: Robbery rate, log	nonmasked_original	Non-masked	RowHet	NA	-0.017075	0.03474	-0.084407	-0.024381	0.050257	0.093861	-0.0171 [-0.0844, 0.0503]	0.0347 [-0.0244, 0.0939]	0.034353	0.030164	500	500
Delta	Delta: Robbery rate, log	nonmasked_original	Non-masked	Trend	NA	-0.135938	-0.109753	-0.216521	-0.206899	-0.055355	-0.012607	-0.1359 [-0.2165, -0.0554]	-0.1098 [-0.2069, -0.0126]	0.041114	0.049564	500	500
Delta	Delta: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	-0.103207	-0.027649	-0.362412	-1.367692	0.155998	1.312394	-0.1032 [-0.3624, 0.1560]	-0.0276 [-1.3677, 1.3124]	0.132247	0.683695	500	500
Delta	Delta: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	0.004846	-0.151695	-0.699892	-2.910774	0.709584	2.607384	0.0048 [-0.6999, 0.7096]	-0.1517 [-2.9108, 2.6074]	0.35956	1.407693	500	500
Delta	Delta: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	-0.444913	-0.315042	-1.440988	-3.631629	0.551162	3.001545	-0.4449 [-1.4410, 0.5512]	-0.3150 [-3.6316, 3.0015]	0.508201	1.692136	500	500
Delta	Delta: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	-0.041086	-0.177948	-0.643106	-2.92805	0.560934	2.572154	-0.0411 [-0.6431, 0.5609]	-0.1779 [-2.9280, 2.5722]	0.307153	1.403113	500	500
Delta	Delta: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	-0.06036	-9.41e-4	-0.169539	-0.529701	0.048819	0.527819	-0.0604 [-0.1695, 0.0488]	-0.0009 [-0.5297, 0.5278]	0.055703	0.269775	500	500
Delta	Delta: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	6.1e-4	0.013858	-0.022886	-0.012639	0.024106	0.040355	0.0006 [-0.0229, 0.0241]	0.0139 [-0.0126, 0.0404]	0.011988	0.013519	500	500
Delta	Delta: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	-0.050875	-0.009633	-0.175443	-0.301069	0.073693	0.281803	-0.0509 [-0.1754, 0.0737]	-0.0096 [-0.3011, 0.2818]	0.063555	0.148692	500	500
Delta	Delta: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	0.007577	-0.131711	-0.380351	-0.958783	0.395505	0.695361	0.0076 [-0.3804, 0.3955]	-0.1317 [-0.9588, 0.6954]	0.197923	0.421975	500	500
