setting,target_outcome,target_policy,target_k,r,functional,n_staircase_blocks,N_parts,T_parts,Psi0,Psi1,Delta_h,Psi0_matrix,Delta_h_matrix,tensor_minus_matrix,bootstrap_id,bootstrap_type,bootstrap_error
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",-0.04532342730841351,-0.005170068027210884,0.04015335928120262,0.018498862653408863,-0.023668930680619746,-0.06382228996182238,8,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",0.5328131788909464,1.6646953405017921,1.1318821616108456,0.844009687257494,0.8206856532442981,-0.31119650836654766,9,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",-0.02877719921993559,-0.029098639455782314,-3.214402358467233e-4,-0.005151702705473562,-0.02394693675030875,-0.023625496514462028,9,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",3.9683379127840848,1.6863440860215055,-2.2819938267625792,1.2421665551136727,0.44417753090783285,2.7261713576704123,10,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",0.004018559483652052,-0.027216553287981886,-0.03123511277163394,-0.11146239292272553,0.08424583963474364,0.11548095240637758,10,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",1.0073137169710857,0.6541577060931897,-0.35315601087789605,0.06377492677432485,0.5903827793188648,0.9435387901967609,11,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",-0.02442682673504618,-0.005674603174603164,0.018752223560443017,-0.01359790599654736,0.007923302821944197,-0.010828920738498818,11,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",1.3144122271648921,0.49534050179211475,-0.8190717253727774,2.00073042872856,-1.5053899269364455,-0.686318201563668,12,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",0.0025321038106115704,0.002585034013605436,5.293020299386572e-5,-0.05030775056218295,0.05289278457578839,0.05283985437279452,12,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",0.9748145378708248,1.7783154121863798,0.803500874315555,2.378588931761993,-0.6002735195756133,-1.4037743938911682,13,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",-0.029814460250570766,-0.08607709750566894,-0.056262637255098176,-0.292120778362242,0.20604368085657304,0.2623063181116712,13,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",0.980472118041218,0.5384946236559138,-0.4419774943853042,0.554195992764179,-0.01570136910826514,0.42627612527703906,14,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",-0.019835516041225635,0.004518140589569159,0.024353656630794793,-0.0281687544710524,0.03268689506062156,0.008333238429826764,14,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",2.0061269823028867,0.8711827956989241,-1.1349441866039625,0.43165327664454733,0.43952951905437676,1.5744737056583393,15,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",-0.037960905352951026,-0.007942176870748299,0.030018728482202727,-0.03493229610772116,0.02699011923697286,-0.0030286092452298657,15,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",0.48362449443477956,0.9119354838709677,0.4283109894361881,1.0873566895759517,-0.17542120570498398,-0.603732195141172,16,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",-0.019787281246715503,-9.693877551020311e-4,0.01881789349161347,-0.3158285020879818,0.3148591143328798,0.2960412208412663,16,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",1.4158816149709608,1.4401433691756274,0.024261754204666586,1.3817114985465477,0.05843187062907962,0.03417011642441303,17,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",-0.0322161875501057,-0.09649092970521543,-0.06427474215510973,-0.07491384817080135,-0.02157708153441408,0.04269766062069565,17,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",2.9001304821310967,4.384193548387097,1.4840630662560006,5.429631681254277,-1.0454381328671793,-2.52950119912318,18,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",-0.14625767229192563,-0.1811904761904762,-0.03493280389855058,-0.11323560427529007,-0.06795487191518614,-0.033022068016635556,18,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",0.49333616200236174,0.4269175627240143,-0.06641859927834742,0.32422221136530405,0.10269535135871027,0.1691139506370577,19,target_layer_only_fixed_anchors,NA
