setting,target_outcome,target_policy,target_k,r,functional,n_staircase_blocks,N_parts,T_parts,Psi0,Psi1,Delta_h,Psi0_matrix,Delta_h_matrix,tensor_minus_matrix
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",3.422831,1.589677,-1.833153,1.11748,0.472197,2.305351
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",-0.036029,-0.031587,0.004442,0.002607,-0.034195,-0.038636
